Message_id,User_id1,User_id2,Texte/contenu,texte traduit,timestamp
42051,716723I,503507F,Puoi aiutarmi con questo?,Peux-tu m'aider avec ça ?,25/11/2024 03:27:21
55455,440231G,125721F,Wir sehen uns morgen!,On se voit demain !,16/3/2024 22:10:28
25550,411136F,541257E,J'espère que tu vas bien.,Espero que estés bien.,15/12/2024 15:39:46
41240,577013F,322413I,C'est une belle journée.,È una bella giornata.,13/1/2024 00:51:40
20254,642036G,167233F,Es ist ein schöner Tag.,C'est une belle journée.,6/5/2024 13:59:04
50103,164255F,430565E,Quelle heure est-il ?,¿Qué hora es?,6/8/2024 17:08:49
01354,447341G,771576F,"Hallo, wie geht's dir?","Bonjour, comment ça va ?",15/11/2024 15:00:23
44142,667324G,311260F,"Ich hoffe, es geht dir gut.",J'espère que tu vas bien.,10/2/2024 06:05:06
13534,562416I,130516F,Ci vediamo domani!,On se voit demain !,16/9/2024 21:59:09
11110,346472G,163451F,Kannst du mir damit helfen?,Peux-tu m'aider avec ça ?,29/2/2024 21:01:16
22003,742715I,531113F,"Ciao, come stai?","Bonjour, comment ça va ?",8/4/2024 01:58:33
55043,717421E,545672F,Espero que estés bien.,J'espère que tu vas bien.,4/4/2024 08:40:51
54312,257502E,116657F,¿Puedes ayudarme con esto?,Peux-tu m'aider avec ça ?,28/1/2024 07:20:56
33201,031250I,764317F,Buona giornata!,Passe une excellente journée !,9/10/2024 18:18:59
53410,510735G,417270F,"Ich hoffe, es geht dir gut.",J'espère que tu vas bien.,7/8/2024 14:20:28
21453,723502F,365350E,Peux-tu m'aider avec ça ?,¿Puedes ayudarme con esto?,3/8/2024 06:03:49
51344,632477G,125721F,Kannst du mir damit helfen?,Peux-tu m'aider avec ça ?,19/6/2024 07:07:46
32511,354052E,432135F,¿Puedes ayudarme con esto?,Peux-tu m'aider avec ça ?,25/8/2024 16:49:17
31555,031520G,755313F,Es ist ein schöner Tag.,C'est une belle journée.,6/7/2024 09:13:46
20035,474533E,663115F,Espero que estés bien.,J'espère que tu vas bien.,30/4/2024 14:32:23
40055,756006F,246564G,Quelle heure est-il ?,Wie spät ist es?,9/1/2024 21:40:11
40231,105473E,164255F,¿Qué haces hoy?,Que fais-tu aujourd'hui ?,1/4/2024 08:07:53
22035,672100F,123241E,Passe une excellente journée !,¡Que tengas un gran día!,25/12/2024 15:42:21
12232,710032F,107220E,On se voit demain !,¡Nos vemos mañana!,19/7/2024 02:54:32
44421,305144E,077005F,¡Nos vemos mañana!,On se voit demain !,6/5/2024 14:54:22
15205,636462G,277617F,"Hallo, wie geht's dir?","Bonjour, comment ça va ?",23/6/2024 15:50:22
35312,140327I,542114F,Com'è andato il tuo weekend?,Comment s'est passé ton week-end ?,18/5/2024 08:09:35
45132,063221F,441305E,Bonjour !,¡Buenos días!,27/1/2024 07:26:11
55510,573576E,132266F,¡Buenos días!,Bonjour !,20/1/2024 09:27:13
51243,276364G,457577F,Kannst du mir damit helfen?,Peux-tu m'aider avec ça ?,25/8/2024 14:11:54
52413,574345F,072621G,Que fais-tu aujourd'hui ?,Was machst du heute?,3/5/2024 20:50:27
45010,303435F,461657E,Que fais-tu aujourd'hui ?,¿Qué haces hoy?,19/1/2024 14:05:13
41122,554002G,744150F,"Hallo, wie geht's dir?","Bonjour, comment ça va ?",4/5/2024 09:44:07
03045,352346I,764317F,"Ciao, come stai?","Bonjour, comment ça va ?",21/5/2024 19:05:17
43213,163705I,733054F,Ci vediamo domani!,On se voit demain !,30/12/2024 17:05:20
55242,400160G,376565F,Was machst du heute?,Que fais-tu aujourd'hui ?,19/2/2024 07:34:00
03341,547465E,533642F,¿Qué haces hoy?,Que fais-tu aujourd'hui ?,15/1/2024 14:24:37
11315,503040E,557503F,¿Puedes ayudarme con esto?,Peux-tu m'aider avec ça ?,28/12/2024 08:50:54
45523,606175E,144711F,¡Que tengas un gran día!,Passe une excellente journée !,26/9/2024 14:28:12
20452,331731G,331226F,Wir sehen uns morgen!,On se voit demain !,25/1/2024 07:44:06
12344,521444G,471505F,Kannst du mir damit helfen?,Peux-tu m'aider avec ça ?,5/4/2024 17:06:21
22022,660066G,311260F,Es ist ein schöner Tag.,C'est une belle journée.,6/5/2024 02:03:44
44004,524447I,417270F,Spero che tu stia bene.,J'espère que tu vas bien.,2/10/2024 17:10:44
55005,171022G,253236F,Wie spät ist es?,Quelle heure est-il ?,4/11/2024 06:30:42
14214,332255G,121401F,Es ist ein schöner Tag.,C'est une belle journée.,22/4/2024 03:49:30
14105,364007E,207424F,Hace un día precioso.,C'est une belle journée.,1/7/2024 14:23:02
35400,231155I,055643F,Puoi aiutarmi con questo?,Peux-tu m'aider avec ça ?,13/5/2024 05:28:21
13322,015377I,077005F,Spero che tu stia bene.,J'espère que tu vas bien.,22/8/2024 23:54:08
25251,461657E,417270F,¿Qué haces hoy?,Que fais-tu aujourd'hui ?,12/2/2024 01:59:30
31553,000304F,113725I,"Bonjour, comment ça va ?","Ciao, come stai?",27/4/2024 20:20:13
53433,154405G,500261F,"Hallo, wie geht's dir?","Bonjour, comment ça va ?",27/5/2024 04:53:17
40155,645260I,435755F,Spero che tu stia bene.,J'espère que tu vas bien.,13/6/2024 13:25:13
33114,241005F,473761I,"Bonjour, comment ça va ?","Ciao, come stai?",17/5/2024 12:16:36
52101,312775G,347234F,Was machst du heute?,Que fais-tu aujourd'hui ?,6/4/2024 20:59:00
15203,451041G,373763F,Wie war dein Wochenende?,Comment s'est passé ton week-end ?,1/10/2024 20:55:07
43500,321053G,534544F,Hab einen schönen Tag!,Passe une excellente journée !,16/12/2024 23:58:17
32341,246042I,761407F,Buona giornata!,Passe une excellente journée !,17/12/2024 23:55:36
15545,272467E,626757F,¿Qué haces hoy?,Que fais-tu aujourd'hui ?,16/9/2024 11:07:39
23210,464352E,331226F,¿Qué hora es?,Quelle heure est-il ?,12/8/2024 17:50:57
51303,363507I,374736F,Buona giornata!,Passe une excellente journée !,14/5/2024 01:03:49
01153,173363F,654255E,On se voit demain !,¡Nos vemos mañana!,22/5/2024 20:29:21
55032,665021E,401343F,¡Buenos días!,Bonjour !,13/10/2024 03:10:34
32120,662144I,756006F,Buongiorno!,Bonjour !,8/3/2024 12:24:48
32435,434632E,462356F,Espero que estés bien.,J'espère que tu vas bien.,17/12/2024 02:21:03
05342,472026G,450070F,Wie spät ist es?,Quelle heure est-il ?,17/11/2024 04:30:05
02154,130702E,367305F,¿Puedes ayudarme con esto?,Peux-tu m'aider avec ça ?,3/2/2024 00:25:59
15555,113725I,002763F,Com'è andato il tuo weekend?,Comment s'est passé ton week-end ?,1/1/2024 22:30:34
23050,670441F,153371G,On se voit demain !,Wir sehen uns morgen!,7/12/2024 06:22:24
20351,671005E,635371F,¿Qué hora es?,Quelle heure est-il ?,16/9/2024 17:36:57
31451,051652E,764317F,Hace un día precioso.,C'est une belle journée.,8/4/2024 04:01:59
25241,021263E,604016F,¡Nos vemos mañana!,On se voit demain !,8/1/2024 09:38:15
10145,530144E,101414F,¡Que tengas un gran día!,Passe une excellente journée !,28/5/2024 20:35:25
53552,375060I,761407F,Puoi aiutarmi con questo?,Peux-tu m'aider avec ça ?,12/9/2024 17:15:28
41145,071131G,160265F,Kannst du mir damit helfen?,Peux-tu m'aider avec ça ?,11/12/2024 00:01:43
25442,576075F,636761G,Quelle heure est-il ?,Wie spät ist es?,12/4/2024 05:53:29
25002,645673E,273176F,¿Qué haces hoy?,Que fais-tu aujourd'hui ?,26/12/2024 08:51:55
55152,367305F,064336E,"Bonjour, comment ça va ?","Hola, ¿cómo estás?",6/2/2024 02:56:47
54220,730707I,242332F,Che ore sono?,Quelle heure est-il ?,16/3/2024 23:09:20
45401,243354F,735634I,J'espère que tu vas bien.,Spero che tu stia bene.,10/3/2024 22:18:13
11455,663234E,331612F,¡Que tengas un gran día!,Passe une excellente journée !,21/10/2024 17:51:57
43542,564326G,771576F,Wie spät ist es?,Quelle heure est-il ?,9/11/2024 21:47:38
02104,304557F,602613E,Passe une excellente journée !,¡Que tengas un gran día!,15/2/2024 06:56:12
33125,107657E,401343F,¿Qué haces hoy?,Que fais-tu aujourd'hui ?,11/12/2024 03:53:04
24132,430565E,167233F,"Hola, ¿cómo estás?","Bonjour, comment ça va ?",2/11/2024 22:32:58
12154,106225E,723715F,¡Buenos días!,Bonjour !,1/8/2024 14:21:56
